lon,lat,value
113.56493595379159,37.78017093803306,-0.056556102
113.56558552410011,37.78017093803306,-0.029020207
113.56266245771175,37.77984615287879,-0.050077777
113.56298724286601,37.77984615287879,-0.04354176
113.56331202802028,37.77984615287879,-0.06288818
113.56363681317454,37.77984615287879,-0.03713866
113.5639615983288,37.77984615287879,-0.05706393
113.56493595379159,37.77984615287879,-0.04151992
113.56526073894585,37.77984615287879,-0.031288408
113.56558552410011,37.77984615287879,-0.024810767
113.55876503586059,37.77952136772453,-0.044466652
113.55908982101485,37.77952136772453,-0.030590326
113.55941460616911,37.77952136772453,-0.03762149
113.55973939132338,37.77952136772453,-0.046365175
113.56006417647764,37.77952136772453,-0.05241191
113.5603889616319,37.77952136772453,-0.040508185
113.56071374678616,37.77952136772453,-0.031423368
113.56103853194043,37.77952136772453,-0.02918189
113.56136331709469,37.77952136772453,-0.026777731
113.56168810224895,37.77952136772453,-0.021882102
113.56201288740321,37.77952136772453,-0.020949055
113.56233767255748,37.77952136772453,-0.03950443
113.56266245771175,37.77952136772453,-0.031115476
113.56298724286601,37.77952136772453,-0.04322602
113.56331202802028,37.77952136772453,-0.06106394
113.56363681317454,37.77952136772453,-0.055718068
113.5639615983288,37.77952136772453,-0.0605276
113.56461116863733,37.77952136772453,-0.049359534
113.56493595379159,37.77952136772453,-0.035348404
113.56526073894585,37.77952136772453,-0.019798128
113.55486761400942,37.779196582570265,-0.031669226
113.55519239916369,37.779196582570265,-0.04460638
113.55616675462647,37.779196582570265,-0.026677929
113.55649153978074,37.779196582570265,-0.048916355
113.556816324935,37.779196582570265,-0.057156753
113.55714111008926,37.779196582570265,-0.024641505
113.55746589524352,37.779196582570265,-0.04016259
113.55779068039779,37.779196582570265,-0.045873538
113.55811546555206,37.779196582570265,-0.024547778
113.55844025070633,37.779196582570265,-0.03205079
113.55876503586059,37.779196582570265,-0.032281213
113.55908982101485,37.779196582570265,-0.03872067
113.55941460616911,37.779196582570265,-0.042621322
113.55973939132338,37.779196582570265,-0.042621322
113.56006417647764,37.779196582570265,-0.03340318
113.5603889616319,37.779196582570265,-0.035223182
113.56071374678616,37.779196582570265,-0.030995216
113.56103853194043,37.779196582570265,-0.036233027
113.56136331709469,37.779196582570265,-0.033541042
113.56168810224895,37.779196582570265,-0.015298439
113.56201288740321,37.779196582570265,-0.028149376
113.56233767255748,37.779196582570265,-0.025903735
113.56266245771175,37.779196582570265,-0.030056091
113.56298724286601,37.779196582570265,-0.04433356
113.56331202802028,37.779196582570265,-0.04453819
113.56363681317454,37.779196582570265,-0.061177585
113.5639615983288,37.779196582570265,-0.052789688
113.56428638348306,37.779196582570265,-0.043445043
113.56461116863733,37.779196582570265,-0.038016677
113.56493595379159,37.779196582570265,-0.01874558
113.56526073894585,37.779196582570265,-0.025669951
113.55291890308384,37.778871797416,-0.03693658
113.5532436882381,37.778871797416,-0.03693658
113.55356847339237,37.778871797416,-0.045847632
113.55389325854664,37.778871797416,-0.052672707
113.5542180437009,37.778871797416,-0.02806967
113.55454282885516,37.778871797416,-0.031937324
113.55486761400942,37.778871797416,-0.031240711
113.55519239916369,37.778871797416,-0.03809989
113.55616675462647,37.778871797416,-0.030357888
113.55649153978074,37.778871797416,-0.053789984
113.556816324935,37.778871797416,-0.055819035
113.55714111008926,37.778871797416,-0.04850872
113.55779068039779,37.778871797416,-0.049200263
113.55811546555206,37.778871797416,-0.03148516
113.55844025070633,37.778871797416,-0.039505053
113.55876503586059,37.778871797416,-0.042406335
113.55908982101485,37.778871797416,-0.047592048
113.55941460616911,37.778871797416,-0.029704755
113.55973939132338,37.778871797416,-0.036480725
113.56006417647764,37.778871797416,-0.036480725
113.5603889616319,37.778871797416,-0.027557965
113.56071374678616,37.778871797416,-0.034347326
113.56103853194043,37.778871797416,-0.03529662
113.56136331709469,37.778871797416,-0.03697324
113.56168810224895,37.778871797416,-0.03697324
113.56201288740321,37.778871797416,-0.02987293
113.56233767255748,37.778871797416,-0.025992604
113.56266245771175,37.778871797416,-0.031671952
113.56298724286601,37.778871797416,-0.029422652
113.56331202802028,37.778871797416,-0.036052372
113.56363681317454,37.778871797416,-0.057700444
113.5639615983288,37.778871797416,-0.043143425
113.56428638348306,37.778871797416,-0.04977034
113.56461116863733,37.778871797416,-0.034132548
113.56493595379159,37.778871797416,-0.036262438
113.56526073894585,37.778871797416,-0.03453934
113.56558552410011,37.778871797416,-0.04574787
113.550645407004,37.77854701226174,-0.045243364
113.55097019215826,37.77854701226174,-0.047970235
113.55129497731252,37.77854701226174,-0.029871698
113.55161976246679,37.77854701226174,-0.035694424
113.55194454762105,37.77854701226174,-0.07657872
113.55291890308384,37.77854701226174,-0.05006715
113.5532436882381,37.77854701226174,-0.03838095
113.55356847339237,37.77854701226174,-0.03833849
113.55389325854664,37.77854701226174,-0.037973393
113.5542180437009,37.77854701226174,-0.031937324
113.55454282885516,37.77854701226174,-0.042827066
113.55486761400942,37.77854701226174,-0.04374317
113.55519239916369,37.77854701226174,-0.03233723
113.55584196947221,37.77854701226174,-0.040156078
113.55616675462647,37.77854701226174,-0.048674632
113.55649153978074,37.77854701226174,-0.052087195
113.556816324935,37.77854701226174,-0.04430632
113.55714111008926,37.77854701226174,-0.054956377
113.55746589524352,37.77854701226174,-0.040935293
113.55779068039779,37.77854701226174,-0.037125338
113.55811546555206,37.77854701226174,-0.02278006
113.55844025070633,37.77854701226174,-0.038346395
113.55876503586059,37.77854701226174,-0.04714794
113.55908982101485,37.77854701226174,-0.042161256
113.55941460616911,37.77854701226174,-0.035378415
113.55973939132338,37.77854701226174,-0.05322522
113.56006417647764,37.77854701226174,-0.042266842
113.5603889616319,37.77854701226174,-0.037248507
113.56071374678616,37.77854701226174,-0.03933862
113.56103853194043,37.77854701226174,-0.03860528
113.56136331709469,37.77854701226174,-0.028209222
113.56168810224895,37.77854701226174,-0.018741975
113.56201288740321,37.77854701226174,-0.029747704
113.56233767255748,37.77854701226174,-0.042804766
113.56266245771175,37.77854701226174,-0.04147645
113.56298724286601,37.77854701226174,-0.024961732
