pair,n_points,c_time_s,c_rmse,l_time_s,l_rmse,f_time_s,f_rmse,f_model,read_sec,pair_frames
0-4,337056,0.01073870,0.00230518,0.03364710,0.00225153,0.27612590,0.00230518,const,0.81906891,0(113_126) & 4(11_121)
0-7,2950375,0.08959320,0.00438828,0.32014980,0.00436478,3.33904080,0.00438828,const,11.19627810,0(113_126) & 7(40_127)
0-8,141037,0.00374110,0.00498801,0.01308400,0.00428273,0.12554390,0.00498801,const,0.97696424,0(113_126) & 8(40_122)
1-2,57207,0.00077720,0.00279668,0.00208740,0.00279296,0.01322660,0.00279668,const,3.72297096,1(113_121) & 2(113_116)
1-4,1679769,0.05352470,0.00250712,0.17536920,0.00238271,1.64798470,0.00250712,const,3.11032772,1(113_121) & 4(11_121)
1-5,257747,0.00748390,0.00306259,0.02690940,0.00271277,0.20970860,0.00306259,const,2.08759689,1(113_121) & 5(11_116)
1-8,2160318,0.41348890,0.00364729,0.23377780,0.00364037,2.05442960,0.00364729,const,2.74107695,1(113_121) & 8(40_122)
1-9,125246,0.00215380,0.00315098,0.00804540,0.00305876,0.06188960,0.00315098,const,0.88340330,1(113_121) & 9(40_117)
2-3,47922,0.00068070,0.00572521,0.00254720,0.00539651,0.02135070,0.00572521,const,1.74673271,2(113_116) & 3(113_111)
2-5,1346069,0.04515700,0.00397071,0.18552060,0.00396782,1.14822390,0.00397071,const,2.87368011,2(113_116) & 5(11_116)
2-6,272758,0.00779890,0.00402512,0.02337060,0.00385985,0.21846560,0.00402512,const,0.80904794,2(113_116) & 6(11_111)
2-9,2136662,0.06814710,0.00332931,0.21693890,0.00330554,1.81295550,0.00332931,const,3.16994739,2(113_116) & 9(40_117)
3-6,1002770,0.04227410,0.00608428,0.11560860,0.00577150,0.80700130,0.00608428,const,3.12672925,3(113_111) & 6(11_111)
4-5,44666,0.00070310,0.00150715,0.00266180,0.00146795,0.02069150,0.00150715,const,1.41544819,4(11_121) & 5(11_116)
5-6,19926,0.00041660,0.00299775,0.00138140,0.00285708,0.01272040,0.00299775,const,1.62936926,5(11_116) & 6(11_111)
7-8,71259,0.00115660,0.00491577,0.00405500,0.00480722,0.03783780,0.00491577,const,1.74327517,7(40_127) & 8(40_122)
8-9,52939,0.00074330,0.00512249,0.00256230,0.00503374,0.02507180,0.00512249,const,1.42492080,8(40_122) & 9(40_117)
