pair,n_points,c_time_s,c_rmse,l_time_s,l_rmse,f_time_s,f_rmse,f_model,read_sec,pair_frames
0-1,393813,0.01166050,0.01220169,0.03930410,0.01037701,1.80516240,0.00821732,linear,5.43993187,0(113_126) & 1(113_121)
0-4,1689443,0.04837150,0.00510900,0.16065250,0.00509768,2.13148150,0.00510900,const,12.00896597,0(113_126) & 4(11_121)
0-7,13174666,0.40042260,0.00963860,1.27082440,0.00938801,10.90411400,0.00963860,const,12.03129482,0(113_126) & 7(40_127)
0-8,544802,0.01502260,0.01045696,0.04824970,0.00836998,0.42681210,0.01045696,const,3.70563126,0(113_126) & 8(40_122)
1-2,270045,0.00811820,0.01017235,0.02534610,0.00944977,1.38233380,0.00189771,linear,4.71873355,1(113_121) & 2(113_116)
1-4,11493227,0.36316000,0.00511143,1.09044000,0.00505071,9.51036820,0.00511143,const,9.65141654,1(113_121) & 4(11_121)
1-5,1319890,0.04002380,0.00674362,0.11558910,0.00673380,1.21309740,0.00674362,const,3.17490959,1(113_121) & 5(11_116)
1-8,10198007,0.32079070,0.00839471,1.07327270,0.00831046,8.52421820,0.00839471,const,10.48644209,1(113_121) & 8(40_122)
1-9,599704,0.02139000,0.00700160,0.05829640,0.00692358,0.49738600,0.00700160,const,3.67082596,1(113_121) & 9(40_117)
2-3,184976,0.00481680,0.01285498,0.01529470,0.01275815,0.17710590,0.01285498,const,5.08532238,2(113_116) & 3(113_111)
2-5,7668138,0.28879870,0.00775248,0.81747380,0.00769630,6.55893860,0.00775248,const,10.22922730,2(113_116) & 5(11_116)
2-6,1060075,0.03788210,0.00624922,0.11156340,0.00624338,1.14781180,0.00624922,const,3.11971974,2(113_116) & 6(11_111)
2-9,9666539,0.29660030,0.01738224,0.91989190,0.01209761,40.19684700,0.00931939,linear,9.74946713,2(113_116) & 9(40_117)
3-6,758043,0.02018040,0.01283606,0.06942200,0.01072509,4.43431470,0.00351154,linear,7.71493101,3(113_111) & 6(11_111)
4-5,254828,0.00727440,0.00416005,0.02095680,0.00414348,0.21019090,0.00416005,const,1.71434855,4(11_121) & 5(11_116)
5-6,104697,0.00141810,0.00787576,0.00507750,0.00777565,0.06864290,0.00787576,const,1.60251260,5(11_116) & 6(11_111)
7-8,278334,0.00841320,0.00804977,0.02637490,0.00762142,0.28805950,0.00804977,const,3.82358479,7(40_127) & 8(40_122)
8-9,283731,0.00798450,0.02138805,0.03928530,0.01192641,1.62135990,0.01048036,linear,3.06778264,8(40_122) & 9(40_117)
