pair,n_points,c_time_s,c_rmse,l_time_s,l_rmse,f_time_s,f_rmse,f_model,read_sec,pair_frames
0-1,413945,0.00998510,0.01109975,0.04447370,0.01062119,0.61041460,0.00161076,linear,3.07011032,0(113_126) & 1(113_121)
0-4,1695386,0.03943730,0.00431633,0.13847810,0.00431457,1.03477420,0.00431633,const,1.22365308,0(113_126) & 4(11_121)
0-7,14013565,0.29738900,0.01028226,0.86394950,0.01027791,28.53898490,0.00179203,linear,8.14794564,0(113_126) & 7(40_127)
0-8,623135,0.01189830,0.00619275,0.03641990,0.00607854,0.32345230,0.00619275,const,1.50856137,0(113_126) & 8(40_122)
1-2,248981,0.00454410,0.00858464,0.01571260,0.00856046,0.11814480,0.00858464,const,2.04368973,1(113_121) & 2(113_116)
1-4,11598546,0.22599070,0.00920379,0.80356830,0.00760182,8.49493000,0.00920379,const,4.55075812,1(113_121) & 4(11_121)
1-5,1287666,0.06650850,0.00617942,0.13306560,0.00605399,1.11576560,0.00617942,const,2.60259748,1(113_121) & 5(11_116)
1-8,10643664,0.39236220,0.01056736,1.30882340,0.00970263,54.80059490,0.00398048,linear,10.34340644,1(113_121) & 8(40_122)
1-9,596938,0.02121060,0.00574717,0.06080930,0.00574600,0.57741270,0.00574717,const,2.52882576,1(113_121) & 9(40_117)
2-3,91219,0.00165520,0.00962613,0.00586570,0.00940512,0.04089340,0.00962613,const,3.96143794,2(113_116) & 3(113_111)
2-5,8727880,0.31035180,0.00986823,0.93116570,0.00970039,7.52683830,0.00986823,const,8.40563607,2(113_116) & 5(11_116)
2-6,1294983,0.04511950,0.00492141,0.13166790,0.00485880,1.18574500,0.00492141,const,2.60267377,2(113_116) & 6(11_111)
2-9,10143724,0.33701540,0.01147563,1.06414650,0.00967742,52.66308410,0.00435190,linear,8.29876685,2(113_116) & 9(40_117)
3-6,650460,0.01885560,0.01201348,0.05916040,0.01084466,0.51429550,0.01201348,const,7.21530747,3(113_111) & 6(11_111)
4-5,257379,0.00697280,0.00576023,0.02072070,0.00530268,0.25287740,0.00576023,const,1.66845608,4(11_121) & 5(11_116)
5-6,134706,0.00365830,0.01095369,0.01403540,0.01092578,0.86001850,0.00488594,linear,1.86295509,5(11_116) & 6(11_111)
7-8,366209,0.01048130,0.01193894,0.03428790,0.01186363,1.94316320,0.00222273,linear,3.76068711,7(40_127) & 8(40_122)
8-9,291814,0.00849500,0.00952715,0.02451690,0.00917592,0.25894970,0.00952715,const,3.00072241,8(40_122) & 9(40_117)
